epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,176.887,1.24302,0.72375,1.19184,0.90942,0.90606,0.95253,0.61683,1.1383,7.81356,1.09384,0.00138644,0.00138644,0.00138644
19,186.639,1.23155,0.71065,1.18218,0.93566,0.90636,0.96082,0.62972,1.11112,1.39063,1.07594,0.00136994,0.00136994,0.00136994
20,196.435,1.22229,0.70257,1.18256,0.9386,0.92101,0.96559,0.63635,1.09197,3.11969,1.06596,0.00135344,0.00135344,0.00135344
21,206.202,1.20485,0.68201,1.17114,0.90986,0.93302,0.96202,0.6341,1.10281,6.56521,1.0848,0.00133693,0.00133693,0.00133693
22,216.055,1.22012,0.69476,1.18471,0.93932,0.93155,0.97155,0.63833,1.09838,1.31872,1.06846,0.00132043,0.00132043,0.00132043
23,226.926,1.20988,0.68216,1.18248,0.92554,0.93363,0.9659,0.6365,1.08705,3.29418,1.07916,0.00130393,0.00130393,0.00130393
24,237.138,1.20675,0.67941,1.17623,0.92902,0.89739,0.95111,0.62393,1.11382,4.45163,1.08689,0.00128742,0.00128742,0.00128742
25,247.244,1.18794,0.66176,1.16769,0.93108,0.92264,0.96814,0.64178,1.07709,1.53207,1.048,0.00127092,0.00127092,0.00127092
26,257.048,1.199,0.6635,1.177,0.92035,0.90488,0.9575,0.62992,1.08727,3.27105,1.07366,0.00125442,0.00125442,0.00125442
27,267.052,1.18426,0.65347,1.16491,0.9422,0.92995,0.97258,0.64884,1.06813,1.1025,1.06925,0.00123791,0.00123791,0.00123791
28,277.072,1.19006,0.64767,1.15704,0.94819,0.9333,0.9764,0.6612,1.07046,0.64775,1.0687,0.00122141,0.00122141,0.00122141
29,287.021,1.1695,0.6426,1.1519,0.92879,0.95584,0.97799,0.65654,1.06441,2.27771,1.05963,0.00120491,0.00120491,0.00120491
30,296.68,1.16587,0.63824,1.15767,0.93186,0.93624,0.97241,0.65092,1.05497,4.86047,1.04555,0.0011884,0.0011884,0.0011884
31,306.425,1.14784,0.62323,1.14137,0.94257,0.94529,0.97496,0.66421,1.03391,1.32465,1.05228,0.0011719,0.0011719,0.0011719
32,316.174,1.14967,0.6226,1.14596,0.92755,0.94911,0.97512,0.66694,1.05807,2.27753,1.05101,0.0011554,0.0011554,0.0011554
33,325.953,1.15121,0.61315,1.14851,0.94092,0.951,0.97859,0.66466,1.04419,1.2309,1.0525,0.00113889,0.00113889,0.00113889
34,335.696,1.15144,0.61317,1.15267,0.92267,0.95294,0.97751,0.66307,1.04014,2.49185,1.05169,0.00112239,0.00112239,0.00112239
35,345.476,1.14904,0.61986,1.14027,0.94789,0.93567,0.97779,0.66256,1.03551,2.10399,1.03966,0.00110589,0.00110589,0.00110589
36,355.232,1.13551,0.60031,1.13587,0.94483,0.9191,0.9688,0.66155,1.04857,0.64809,1.04729,0.00108938,0.00108938,0.00108938
37,365.061,1.14042,0.60249,1.14618,0.95518,0.94211,0.97848,0.67057,1.02679,1.98256,1.05177,0.00107288,0.00107288,0.00107288
38,374.889,1.13494,0.59662,1.14176,0.94921,0.95629,0.98096,0.68123,1.01717,0.61228,1.03434,0.00105638,0.00105638,0.00105638
39,384.621,1.13193,0.59374,1.13789,0.94692,0.94622,0.97964,0.66954,1.02398,1.19799,1.03449,0.00103987,0.00103987,0.00103987
40,394.378,1.13826,0.59756,1.14052,0.9463,0.95603,0.97938,0.67358,1.02637,2.39478,1.03146,0.00102337,0.00102337,0.00102337
41,404.231,1.1269,0.59067,1.13419,0.9474,0.95154,0.97924,0.67314,1.02248,1.66356,1.03865,0.00100687,0.00100687,0.00100687
42,414.019,1.12664,0.59241,1.13261,0.95609,0.93412,0.97793,0.67629,1.01554,1.05184,1.03772,0.000990365,0.000990365,0.000990365
43,423.786,1.12107,0.58149,1.13284,0.9493,0.96339,0.98255,0.68651,1.01049,0.64148,1.02386,0.000973861,0.000973861,0.000973861
44,433.354,1.12383,0.58229,1.13018,0.96523,0.95458,0.98369,0.68051,1.01808,1.57192,1.03666,0.000957358,0.000957358,0.000957358
45,442.905,1.10696,0.58002,1.13224,0.95419,0.94971,0.98341,0.68963,1.00088,0.77331,1.02516,0.000940855,0.000940855,0.000940855
46,452.822,1.10777,0.56876,1.12709,0.95344,0.95009,0.97793,0.67981,1.01485,0.94476,1.02669,0.000924352,0.000924352,0.000924352
47,462.601,1.10288,0.57108,1.12391,0.95651,0.92399,0.97438,0.66515,1.03805,1.13154,1.0454,0.000907848,0.000907848,0.000907848
48,472.408,1.10504,0.57076,1.13294,0.94825,0.9579,0.98283,0.68058,1.00495,1.64521,1.03251,0.000891345,0.000891345,0.000891345
49,482.031,1.09437,0.56388,1.11908,0.96139,0.95119,0.98595,0.68953,1.00072,0.70305,1.01632,0.000874842,0.000874842,0.000874842
50,491.663,1.09495,0.56084,1.11651,0.95582,0.96047,0.98397,0.68364,0.99965,1.42061,1.02869,0.000858338,0.000858338,0.000858338
51,501.54,1.09396,0.55168,1.12976,0.95931,0.96435,0.98435,0.69409,0.98084,1.02194,1.01973,0.000841835,0.000841835,0.000841835
52,511.235,1.094,0.55536,1.11025,0.94479,0.95471,0.97889,0.68053,1.015,5.54976,1.03594,0.000825332,0.000825332,0.000825332
53,520.754,1.08037,0.5457,1.11747,0.9566,0.96987,0.98585,0.69593,0.98779,0.84927,1.01576,0.000808828,0.000808828,0.000808828
54,530.283,1.08296,0.54663,1.11158,0.9574,0.95911,0.9846,0.69275,0.9878,1.3719,1.0243,0.000792325,0.000792325,0.000792325
55,539.773,1.0895,0.54296,1.10975,0.95759,0.96616,0.98561,0.69821,0.98964,0.88791,1.01862,0.000775822,0.000775822,0.000775822
56,549.304,1.06974,0.54775,1.10527,0.95811,0.94946,0.98163,0.69397,0.98891,0.53289,1.02099,0.000759318,0.000759318,0.000759318
57,559.233,1.0768,0.53868,1.10646,0.96033,0.95812,0.9838,0.69129,0.97909,0.72246,1.01708,0.000742815,0.000742815,0.000742815
58,568.777,1.06589,0.53424,1.1043,0.96212,0.96345,0.98684,0.69665,0.97849,1.19942,1.01741,0.000726312,0.000726312,0.000726312
59,578.288,1.06178,0.52919,1.10127,0.96215,0.95638,0.98425,0.694,0.96962,1.211,1.01188,0.000709809,0.000709809,0.000709809
60,587.78,1.07294,0.53682,1.10364,0.96251,0.97419,0.98634,0.70722,0.9634,0.94321,1.00831,0.000693305,0.000693305,0.000693305
61,597.266,1.06477,0.53721,1.09934,0.96069,0.96521,0.98784,0.69831,0.98106,0.83505,1.01505,0.000676802,0.000676802,0.000676802
62,606.735,1.05343,0.52137,1.09489,0.96294,0.96869,0.98677,0.70109,0.96871,0.79063,1.00963,0.000660299,0.000660299,0.000660299
63,616.3,1.05713,0.52308,1.09937,0.95562,0.96257,0.9855,0.70006,0.98157,0.58191,1.0165,0.000643795,0.000643795,0.000643795
64,625.797,1.0569,0.52346,1.09478,0.95478,0.96449,0.98388,0.69969,0.97205,0.79897,1.0086,0.000627292,0.000627292,0.000627292
65,635.275,1.04542,0.51864,1.09663,0.96,0.96719,0.98739,0.70735,0.95817,0.72577,1.00316,0.000610789,0.000610789,0.000610789
66,644.699,1.04321,0.51781,1.09302,0.97337,0.96296,0.98856,0.70864,0.95522,0.738,1.00257,0.000594286,0.000594286,0.000594286
67,654.137,1.05692,0.51703,1.09639,0.97155,0.97143,0.98968,0.70916,0.9506,0.66269,0.99861,0.000577782,0.000577782,0.000577782
68,663.632,1.03985,0.51328,1.08861,0.96339,0.96795,0.98913,0.71767,0.94787,0.47304,0.9949,0.000561279,0.000561279,0.000561279
69,673.268,1.05127,0.51576,1.09636,0.96604,0.97031,0.98742,0.7183,0.94213,0.56461,0.99594,0.000544776,0.000544776,0.000544776
70,682.901,1.04158,0.50823,1.08782,0.97021,0.97462,0.98875,0.71577,0.94957,0.45869,1.00483,0.000528272,0.000528272,0.000528272
71,692.489,1.04114,0.51114,1.092,0.96125,0.97134,0.98787,0.7208,0.93956,0.45301,0.99791,0.000511769,0.000511769,0.000511769
72,702.024,1.03475,0.50461,1.08782,0.95942,0.96747,0.9874,0.71721,0.93739,0.53889,0.99525,0.000495266,0.000495266,0.000495266
73,711.645,1.02421,0.50059,1.08223,0.9691,0.96006,0.9891,0.7197,0.93751,0.61034,0.99868,0.000478762,0.000478762,0.000478762
74,721.204,1.028,0.49761,1.08685,0.96906,0.97002,0.98848,0.72147,0.93365,0.70037,1.00001,0.000462259,0.000462259,0.000462259
75,730.711,1.00826,0.48863,1.07725,0.97371,0.96908,0.9895,0.71994,0.93588,0.56643,0.99701,0.000445756,0.000445756,0.000445756
76,740.148,1.01869,0.49624,1.08428,0.96926,0.96103,0.98825,0.71875,0.93297,0.47957,0.99825,0.000429253,0.000429253,0.000429253
77,750.003,1.02074,0.49295,1.08404,0.97423,0.96471,0.98921,0.72278,0.92786,0.49226,0.99348,0.000412749,0.000412749,0.000412749
78,759.707,1.02266,0.49304,1.08617,0.96314,0.97534,0.98963,0.72172,0.93116,0.45185,0.997,0.000396246,0.000396246,0.000396246
79,769.216,1.02864,0.49834,1.08582,0.96751,0.97,0.98935,0.72239,0.92345,0.64542,0.99155,0.000379743,0.000379743,0.000379743
80,778.641,1.00598,0.4838,1.0702,0.96529,0.97095,0.98889,0.72248,0.92479,0.63452,0.99155,0.000363239,0.000363239,0.000363239
81,788.202,1.01125,0.49108,1.08168,0.96706,0.97794,0.98912,0.72718,0.91884,0.69631,0.98865,0.000346736,0.000346736,0.000346736
82,797.642,1.00645,0.48412,1.07618,0.96228,0.97353,0.98835,0.71849,0.92455,0.81394,0.99119,0.000330233,0.000330233,0.000330233
83,807.107,1.00275,0.47837,1.07451,0.97317,0.96736,0.98869,0.72691,0.913,0.59495,0.98313,0.000313729,0.000313729,0.000313729
84,816.505,1.00339,0.47883,1.07048,0.97202,0.97388,0.98942,0.72666,0.91279,1.01808,0.98621,0.000297226,0.000297226,0.000297226
85,825.904,1.00427,0.48339,1.0821,0.97341,0.96991,0.9889,0.72648,0.91351,0.67638,0.98578,0.000280723,0.000280723,0.000280723
86,835.361,0.98691,0.46911,1.07151,0.96748,0.97668,0.98985,0.72732,0.91507,0.66986,0.98944,0.00026422,0.00026422,0.00026422
87,844.952,0.9805,0.46359,1.06691,0.96541,0.97778,0.99008,0.73078,0.90873,0.6373,0.98242,0.000247716,0.000247716,0.000247716
88,854.359,0.96956,0.46952,1.0635,0.96002,0.97829,0.98873,0.73156,0.90933,0.43648,0.98144,0.000231213,0.000231213,0.000231213
89,863.844,0.98752,0.47271,1.07045,0.96647,0.97451,0.9891,0.73309,0.90358,0.43159,0.97913,0.00021471,0.00021471,0.00021471
90,873.383,0.98548,0.46149,1.06414,0.97032,0.97379,0.99024,0.73325,0.90401,0.53464,0.98187,0.000198206,0.000198206,0.000198206
91,909.581,1.00652,0.45219,1.08657,0.97437,0.97,0.98898,0.72498,0.90834,1.73391,0.98152,0.000181703,0.000181703,0.000181703
92,918.767,0.96959,0.4267,1.07375,0.96688,0.97961,0.99027,0.72783,0.90221,1.00186,0.98077,0.0001652,0.0001652,0.0001652
93,927.904,0.96287,0.41831,1.07012,0.96535,0.97417,0.98906,0.73009,0.90138,0.64324,0.98154,0.000148696,0.000148696,0.000148696
94,937.134,0.95829,0.4149,1.06485,0.97529,0.97042,0.99059,0.73226,0.89993,0.51936,0.981,0.000132193,0.000132193,0.000132193
95,946.327,0.95513,0.41524,1.05863,0.97255,0.97526,0.99108,0.73468,0.89821,0.54057,0.97929,0.00011569,0.00011569,0.00011569
96,955.575,0.94651,0.41152,1.05897,0.97253,0.97363,0.99054,0.73792,0.89357,0.52504,0.97793,9.91865e-05,9.91865e-05,9.91865e-05
97,964.836,0.93933,0.40823,1.05178,0.96797,0.97922,0.99107,0.7392,0.89649,0.47707,0.98001,8.26832e-05,8.26832e-05,8.26832e-05
98,973.998,0.93999,0.40724,1.05695,0.97692,0.96872,0.9903,0.73969,0.89335,0.51032,0.97686,6.61799e-05,6.61799e-05,6.61799e-05
99,983.209,0.93868,0.4065,1.05206,0.97103,0.97462,0.99096,0.74252,0.89182,0.47147,0.97675,4.96766e-05,4.96766e-05,4.96766e-05
100,992.353,0.93692,0.40307,1.05113,0.97183,0.97519,0.99092,0.74276,0.88716,0.48693,0.97475,3.31733e-05,3.31733e-05,3.31733e-05
