epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3369,1.82057,2.54301,1.63177,0.93354,0.17341,0.44603,0.21169,1.52684,14.463,1.25878,0.000542437,0.000542437,0.000542437
2,21.1975,1.50483,1.42267,1.3078,0.63659,0.5664,0.62508,0.33608,1.41121,16.18,1.16889,0.00108723,0.00108723,0.00108723
3,30.8837,1.4565,1.22981,1.27589,0.73104,0.57622,0.68265,0.3352,1.46392,18.3875,1.25758,0.00162103,0.00162103,0.00162103
4,40.6401,1.4381,1.14695,1.28507,0.67413,0.61206,0.6568,0.34876,1.51525,143.05,1.31409,0.00161749,0.00161749,0.00161749
5,50.2497,1.41129,1.05548,1.26635,0.80899,0.79219,0.84774,0.4712,1.33002,17.3807,1.16634,0.00160099,0.00160099,0.00160099
6,59.9598,1.38375,0.99409,1.25654,0.8302,0.74323,0.82525,0.47996,1.29266,4.42933,1.1675,0.00158448,0.00158448,0.00158448
7,69.6435,1.35717,0.9238,1.25363,0.88076,0.8227,0.89385,0.53369,1.26449,2.25367,1.1658,0.00156798,0.00156798,0.00156798
8,79.3706,1.3408,0.9043,1.23736,0.8366,0.81118,0.88931,0.53397,1.25015,29.402,1.14703,0.00155148,0.00155148,0.00155148
9,89.1093,1.32347,0.8757,1.23253,0.82201,0.79211,0.85212,0.5018,1.26503,28.7418,1.15666,0.00153497,0.00153497,0.00153497
10,98.6063,1.301,0.82321,1.21626,0.85093,0.81087,0.87576,0.52807,1.26515,10.4291,1.15415,0.00151847,0.00151847,0.00151847
11,108.317,1.30402,0.81841,1.2197,0.83602,0.88512,0.90797,0.58018,1.13374,12.3776,1.08917,0.00150197,0.00150197,0.00150197
12,117.871,1.29237,0.79359,1.21751,0.91075,0.87024,0.92387,0.57254,1.19522,1.63789,1.12587,0.00148546,0.00148546,0.00148546
13,127.627,1.27216,0.76406,1.19837,0.90974,0.86009,0.92799,0.58801,1.18147,3.24283,1.09777,0.00146896,0.00146896,0.00146896
14,137.509,1.2677,0.7569,1.19415,0.89596,0.88219,0.93929,0.5895,1.19046,1.32413,1.11986,0.00145246,0.00145246,0.00145246
15,147.504,1.25978,0.74564,1.19962,0.8646,0.89465,0.93781,0.59995,1.15146,23.579,1.10191,0.00143595,0.00143595,0.00143595
16,157.242,1.24553,0.74086,1.18918,0.9118,0.88561,0.94792,0.60791,1.12087,10.8243,1.08194,0.00141945,0.00141945,0.00141945
17,167.042,1.24648,0.72949,1.19351,0.92025,0.92825,0.96429,0.63311,1.10972,2.20327,1.08206,0.00140295,0.00140295,0.00140295
